Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead
Arthur Dayne,"Starfall , Dorne","281 AC The Tower of Joy , Dorne",Dayne,"['Targaryen', 'Kingsguard']",Ser Sword of the Morning,Dornish,{ Beric Dayne },,{ Ashara Dayne },Game of Thrones,6,""" Oathbreaker "" (vision(s))",,,"""Oathbreaker"" (vision(s))",Luke Roberts,,Faith of the Seven,,,,,,,,1
Derek,,,,"[""Night's Watch""]",,,,,,Game of Thrones,5,""" The Gift """,,,,Ian Lloyd Anderson,,,,,,,,,,0
Despondent man,In Braavos,302 AC at the House of Black and White Committed suicide by drinking poisoned water distributed by Jaqen H'ghar,,['Unknown'],,Braavosi,,,,Game of Thrones,5,""" High Sparrow """,,,"""High Sparrow""",David Garlick,,Many-Faced God,,,,,,,,1
Dirah,,,,['Unknown'],,,,,,Game of Thrones,8,""" Winterfell """,,,,Marina Lawrence-Mahrra,,,,,,,,,,0
Beric Dondarrion,At Blackhaven,1-6: ( see below ) 7: 305 AC at Winterfell,Dondarrion,"['Baratheon', 'Brotherhood Without Banners']",Lord of Blackhaven,Marcher,,,,Game of Thrones,1 · 3 · 6 · 7 · 8,14 episodes ( see below ),""" A Golden Crown """,""" The Last of the Starks "" (corpse)",""" Kissed by Fire "" (resurrected) "" The Long Night """,David Michael Scott (Season 1) Richard Dormer (Seasons 3-8),,Faith of the Seven (raised) Lord of Light (convert),,,,,,,,1
Dongo,Beyond the Wall,"301 AC Castle Black , the Wall",,['Mance Rayder'],,Giant,,,,Game of Thrones,3 · 4,3 episodes ( see below ),""" Valar Dohaeris """,""" The Children "" (corpse)",""" The Watchers on the Wall """,Ian Whyte,,Old Gods,,Dongo the Doomed,,,,,,1
Doreah,274 AC in Lys,299 AC (aged 25) in Qarth Locked inside a vault to die by Daenerys Targaryen,,"['Illyrio Mopatis', 'Targaryen', 'Xaro Xhoan Daxos']",,Lysene,,,,Game of Thrones,1 · 2,11 episodes ( see below ),""" The Kingsroad """,""" Valar Morghulis """,,Roxanne McKee,,,,,,,,{ Xaro Xhoan Daxos },,1
Dothraki crone,,,,['Dosh Khaleen'],Khaleesi,Dothraki,,,,Game of Thrones,1,""" A Golden Crown """,,,,Amira Ghazella,{ Khal },Great Stallion,,,,,,,,0
Drennan,In the Iron Islands,299 AC at Winterfell Throat slit by Osha,,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor "" (corpse)","""The Old Gods and the New""",David Coakley,,Drowned God,,,,,,,,1
Drogo,,298 AC Lhazar,,['Unknown'],Khal,Dothraki,{ Bharbo },,,Game of Thrones,1 · 2,10 episodes ( see below ),""" Winter Is Coming """,""" Valar Morghulis "" (vision(s))",""" Fire and Blood """,Jason Momoa,{ Daenerys Targaryen },Great Stallion,{ Rhaego } (stillborn),The Great Khal,,,,,,1
Drogo%27s stallion,,298 AC in Lhazar Throat slit by Mirri Maz Duur,,['Unknown'],,,,,,Game of Thrones,1,6 episodes ( see below ),""" Winter Is Coming """,""" Baelor """,,,,,,,,Horse,{ Drogo },,,1
Drogon,298 AC (age 7) in the wastelands beyond Lhazar,,,['Unknown'],,,,,,Game of Thrones House of the Dragon,Game of Thrones : 1 · 2 · 3 · 4 · 5 · 6 · 7 · 8 House of the Dragon : 2,31 episodes ( see below ),""" Fire and Blood """,""" The Queen Who Ever Was "" (vision(s))",,,,,,The winged shadow,,Dragon,{ Daenerys Targaryen },,{ Syrax } (mother) { Rhaegal } (brother) { Viserion } (brother),0
Drowned Man,On the Iron Islands,,,['Greyjoy'],Drowned Man,Ironborn,,,,Game of Thrones,2,""" What Is Dead May Never Die """,,,,Jonathan Ryan,,Drowned God,,,,,,,,0
Mirri Maz Duur,"Lhazar , Essos","298 AC The wastelands beyond Lhazar, Essos",,['Unknown'],Godswife,Lhazareen,,,,Game of Thrones,1,3 episodes ( see below ),""" The Pointy End """,""" Fire and Blood ""","""Fire and Blood""",Mia Soteriou,,Great Shepherd,,,,,,,,1
Dwarf 1,,302 AC Beheaded by two bounty hunters,,['Unknown'],,,,,,Game of Thrones,4 · 5,2 episodes ( see below ),""" The Lion and the Rose """,""" The House of Black and White "" (corpse)",,Raymond Griffiths,,,,,,,,,,1
Dwarf 2,,,,['Unknown'],,,,,,Game of Thrones,4,""" The Lion and the Rose """,,,,Max Laird,,,,,,,,,,0
Dwarf 3,,,,['Unknown'],,,,,,Game of Thrones,4,""" The Lion and the Rose """,,,,Dean Whatton,,,,,,,,,,0
Dwarf 4,,,,['Unknown'],,,,,,Game of Thrones,4,""" The Lion and the Rose """,,,,George Appleby,,,,,,,,,,0
Dwarf 5,,,,['Unknown'],,,,,,Game of Thrones,4,""" The Lion and the Rose """,,,,Krysten Coombs,,,,,,,,,,0
Dying man,,301 AC near the Mountains of the Moon Stabbed in heart by Sandor Clegane,,['Unknown'],,Valemen,,,,Game of Thrones,4,""" Mockingbird """,,,"""Mockingbird""",Barry McGovern,,,,,,,,,,1
Ebrose,,,,['Order of Maesters'],Archmaester,,,,,Game of Thrones,7,4 episodes ( see below ),""" Dragonstone """,""" Eastwatch """,,Jim Broadbent,,,,,,,,,,0
Echeal,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Eddie,,,,['Lannister'],,Westermen,,,,Game of Thrones,7,""" Dragonstone """,,,,Ed Sheeran,,,,,,,,,,0
Vardis Egen,The Vale of Arryn,"298 AC The Eyrie , the Vale of Arryn",Egen,['Arryn'],Ser Captain of the guard,Valemen,,,,Game of Thrones,1,2 episodes ( see below ),""" The Wolf and the Lion """,""" A Golden Crown ""","""A Golden Crown""",Brendan McCormack,,Faith of the Seven,,,,,,,,1
Eglantine,,,,"['Faith of the Seven', 'Baratheon']",Septa,Andal,,,,Game of Thrones,2,3 episodes ( see below ),""" The North Remembers """,""" The Old Gods and the New """,,Unidentified,,Faith of the Seven,,,,,,,,0
Elder slave,,,,['Great Masters'],,,,,,Game of Thrones,4,""" Oathkeeper """,,,,Philip Philmar,,,,,,,,,,0
Razdal mo Eraz,"Yunkai , Slaver's Bay","303 AC Meereen , Slaver's Bay",Eraz,['Wise Masters'],Master of Men Speaker to Savages,Ghiscari ( Yunkai'i ),,,,Game of Thrones,3 · 6,3 episodes ( see below ),""" The Bear and the Maiden Fair """,""" Battle of the Bastards ""","""Battle of the Bastards""",George Georgiou,,Ghiscari religion,,,,,,,,1
Escan,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Eyrie guard,,,,['Arryn'],,Valemen,,,,Game of Thrones,5,""" The House of Black and White """,,,,Paul Kennedy,,,,,,,,,,0
Faith Militant 1,,303 AC in King's Landing Incinerated in a wildfire explosion orchestrated by Cersei Lannister,,['Faith Militant'],,,,,,Game of Thrones,5,""" Sons of the Harpy """,,,,Jack Olohan,,Faith of the Seven,,,,,,,,1
Faith Militant 2,,303 AC in King's Landing Incinerated in a wildfire explosion orchestrated by Cersei Lannister,,['Faith Militant'],,,,,,Game of Thrones,5,""" Sons of the Harpy """,,,,Simon Norbury,,Faith of the Seven,,,,,,,,1
Farlen,At Winterfell,299 AC at Winterfell Killed during the Sack of Winterfell,,['Stark'],Kennelmaster at Winterfell,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor """,,Peter Ballance,,Old Gods,,,,,,,,1
Farmer,"The Riverlands , Westeros","301 - 304 AC The Riverlands, Westeros",,['Tully'],,Rivermen,,,Brother,Game of Thrones,4 · 7,2 episodes ( see below ),""" Breaker of Chains """,""" Dragonstone "" (corpse)","""Dragonstone"" (fate confirmed)",Finbar Lynch,{Wife},Faith of the Seven,{ Sally },,,,,,,1
Fennesz,,,,['Great Masters'],,Ghiscari ( Meereenese ),,,,Game of Thrones,4,""" The Children """,,,,Trevor Allan Davies,,Ghiscari religion,,,,,,,,0
Fergus,At Winterfell,305 AC at Winterfell Killed by wights during the Battle of Winterfell,,['Stark'],,Northman,,,,Game of Thrones,8,""" A Knight of the Seven Kingdoms """,,,""" The Long Night "" (deleted scene(s))",Seamus O'Hara,,Old Gods,,,,,,,,1
Fighting pit announcer,In Meereen,302 AC in the Great Pit of Daznak Killed by the Sons of the Harpy during the shadow war,,['Targaryen'],,Ghiscari ( Meereenese ),,,,Game of Thrones,5,""" The Dance of Dragons """,,,"""The Dance of Dragons""",Nick Boulton,,Ghiscari religion,,,,,,,,1
Axell Florent,At Brightwater Keep,"301 AC Dragonstone , Blackwater Bay , the Crownlands",Florent,"['Tyrell', 'Baratheon']",Ser,Andal,,,{ Selyse Baratheon } Imry Florent,Game of Thrones,4,""" The Lion and the Rose """,,,"""The Lion and the Rose""",James McHale,,Faith of the Seven,,,,,,,,1
Imry Florent,At Brightwater Keep,,Florent,['Baratheon'],Ser,Andal,,,{ Axell Florent } { Selyse Baratheon },Game of Thrones,2,""" Blackwater """,,,,Gordon Mahn,,,,,,,,,,0
Jafer Flowers,In the Reach,298 AC in the Haunted Forest Killed and reanimated as a wight ; subsequently burned by the Night's Watch,,"[""Night's Watch"", 'White Walkers']",,Andal,,,,Game of Thrones,1,""" The Pointy End "" (corpse)",,,,Unidentified,,Faith of the Seven,,,,,,,,1
Syrio Forel,In Braavos,298 AC in King's Landing,,"['Sealord of Braavos', 'Stark']",First Sword of Braavos (formerly),Braavosi,,,,Game of Thrones,1,3 episodes ( see below ),""" Lord Snow """,""" The Pointy End """,,Miltos Yerolemou,,Many-Faced God,,,,,,,,1
Forzho,,303 AC in Vaes Dothrak Burned alive by Daenerys Targaryen,,['Unknown'],Khal,Dothraki,,,,Game of Thrones,6,""" Book of the Stranger """,,,"""Book of the Stranger""",Tamer Hassan,,Great Stallion,,,,,,,,1
Frances,,,,"['Varys', 'Qyburn']",,,,,,Game of Thrones,6,2 episodes ( see below ),""" Oathbreaker """,""" The Winds of Winter """,,Annette Hannah,,,,,,,,,,0
Frey guard,In the Riverlands,,,['Frey'],,Rivermen,,,,Game of Thrones,3,""" The Rains of Castamere """,,,,A.J. Kennedy,,Faith of the Seven,,,,,,,,0
Frey knight,"The Twins , the Riverlands","303 AC The Twins, the Riverlands",Frey,['Unknown'],Ser,Rivermen,,,,Game of Thrones,1,""" Cripples, Bastards, and Broken Things """,,,,Patrick Ryan,,Faith of the Seven,,,,,,,,1
Frey soldier 1,"The Riverlands , Westeros","300 AC The Riverlands, Westeros",,['Frey'],,Rivermen,,,,Game of Thrones,3,""" Mhysa """,,,"""Mhysa""",Ciaran O'Grady,,Faith of the Seven,,,,,,,,1
Frey soldier 2,"The Riverlands , Westeros","300 AC The Riverlands, Westeros",,['Frey'],,Rivermen,,,,Game of Thrones,3,""" Mhysa """,,,"""Mhysa""",Michael Liebmann,,Faith of the Seven,,,,,,,,1
Arwaya Frey,At the Twins,,Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Walda Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,1 · 3,2 episodes ( see below ),""" Baelor """,""" The Rains of Castamere """,,Unidentified,,Faith of the Seven,,,,,,,,0
Derwa Frey,At the Twins,,Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3,""" The Rains of Castamere """,,,,Maeve Guy,,Faith of the Seven,,,,,,,,0
Freya Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,,Game of Thrones,3,""" The Rains of Castamere """,,,,Susie McWilliams,,Faith of the Seven,,,,,,,,0
Janeya Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,,Game of Thrones,3,""" The Rains of Castamere """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Joyeuse Frey,"Joyeuse Erenford 283 AC The Riverlands , Westeros","300 AC (aged 17) The Twins , the Riverlands",Erenford Frey (by marriage),['Unknown'],,Rivermen,,,,Game of Thrones,1 · 3 · 6,3 episodes ( see below ),""" Baelor """,""" Blood of My Blood "" (vision(s))",""" The Rains of Castamere """,Kelly Long,{ Walder Frey },Faith of the Seven,,,,,,,,1
Kitty Frey,,,Frey (by marriage),['Unknown'],,Westerosi,,,,Game of Thrones,6 · 7,2 episodes ( see below ),""" Blood of My Blood """,""" Dragonstone """,,Lucy Hayes,{ Walder Frey },,,,,,,,,0
Lothar Frey,"The Twins , the Riverlands","303 AC The Twins, the Riverlands",Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3 · 6,6 episodes ( see below ),""" The Climb """,""" The Winds of Winter ""","""The Winds of Winter"" (fate confirmed)",Tom Brooke (Season 3) Daniel Tuite (Season 6),,Faith of the Seven,,Lame Lothar,,,,,,1
Marianne Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,,Game of Thrones,3 · 6,3 episodes ( see below ),""" The Rains of Castamere """,""" The Winds of Winter """,,Katie Creaven,,Faith of the Seven,,,,,,,,0
Merry Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,,Game of Thrones,3 · 6 · 7,3 episodes ( see below ),""" The Rains of Castamere """,""" Dragonstone """,,Grace Hendy,,Faith of the Seven,,,,,,,,0
Neyela Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,,Game of Thrones,3,""" The Rains of Castamere """,,,,Elizabeth Wiffen,,Faith of the Seven,,,,,,,,0
Sarra Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,Serra Frey (twin),Game of Thrones,3,""" The Rains of Castamere """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Serra Frey,At the Twins,,Frey,['Unknown'],,Rivermen,,,Sarra Frey (twin),Game of Thrones,3,""" The Rains of Castamere """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Shirei Frey,At the Twins,,Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3,""" The Rains of Castamere """,,,,Maria Laird,,Faith of the Seven,,,,,,,,0
Stevron Frey,"The Twins , the Riverlands","303 AC The Twins, the Riverlands",Frey,['Unknown'],Ser,Rivermen,{ Walder Frey },,{ Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,1,""" Baelor """,,,,Colin Carnegie,,Faith of the Seven,,,,,,,,1
Walda Frey (The Rains of Castamere),At the Twins,,Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Derwa Frey Waldra Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3,""" The Rains of Castamere """,,,,,,Faith of the Seven,,,,,,,,0
Walder Frey,"208 AC The Twins , the Riverlands","303 AC (aged 95) The Twins, the Riverlands",Frey,"['Tully', 'Baratheon']",Lord of the Crossing Lord of Riverrun Lord Paramount of the Trident,Rivermen,,,,Game of Thrones,1 · 3 · 6 · 7,6 episodes ( see below ),""" Baelor """,""" Dragonstone "" (corpse)",""" The Winds of Winter """,David Bradley,{7 wives} { Joyeuse Erenford } (8th wife) Kitty Frey (9th wife),,Trueborn: { Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Waldra Frey Shirei Frey Others Bastards : { Walder Rivers } { Ryger Rivers } Others,The Late Lord Frey,,,,,,1
Waldra Frey,At the Twins,,Frey,['Unknown'],,Rivermen,{ Walder Frey },,{ Stevron Frey } { Lothar Frey } { Olyvar Frey } Roslin Tully { Waldron Frey } Arwaya Frey Walda Frey Derwa Frey Shirei Frey Bastard paternal half-siblings: { Walder Rivers } { Ryger Rivers },Game of Thrones,3,""" The Rains of Castamere """,,,,Unidentified,,Faith of the Seven,,,,,,,,0
Gared,,298 AC in the Haunted Forest,,"[""Night's Watch""]",,Westerosi,,,,Game of Thrones,1,""" Winter Is Coming """,,,"""Winter Is Coming""",Dermot Keaney Richard Ridings ( pilot ),,,,,,,,,,1
Gatins,,"303 AC The Riverlands , the Seven Kingdoms",,['Brotherhood Without Banners'],,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Broken Man """,""" No One ""","""No One""",Ricky Champ,,Lord of Light,,,,,,,,1
Gelmarr,"The Iron Islands , the Seven Kingdoms","299 AC Winterfell , the North",,['Greyjoy'],,Ironborn,,,,Game of Thrones,2,""" Valar Morghulis """,,,,Jonny Magee,,Drowned God,,,,,,,,1
Genna,,,,['Petyr Baelish'],,,,,,Game of Thrones,3,""" Walk of Punishment """,,,,Kylie Harris,,,,,,,,,,0
Geoff,,,,['Lannister'],,Westermen,,,,Game of Thrones,7,""" Dragonstone """,,,,Thomas Turgoose,,,,,,,,,,0
Gerald,,,,['Baratheon'],,,,,,Game of Thrones,2,""" What Is Dead May Never Die """,,,,Ken Fletcher,,,,,,,,,,0
Prendahl na Ghezn,,"300 AC Yunkai , Slaver's Bay",,['Second Sons'],Captain of the Second Sons,Ghiscari,,,,Game of Thrones,3,""" Second Sons """,,,"""Second Sons""",Ramon Tikaram,,,,,,,,,,1
Ghita,292 AC,302 AC (aged 10) at the House of Black and White Drank poisoned water from the House of Black and White provided by Arya Stark,,['Unknown'],,Braavosi,Joss,,,Game of Thrones,5,2 episodes ( see below ),""" Unbowed, Unbent, Unbroken """,""" Mother's Mercy "" (corpse)","""Unbowed, Unbent, Unbroken""",Hattie Gotobed,,Many-Faced God,,,,,,,,1
Ghost,298 AC (age 7) in the North,,,['Unknown'],,,,,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 8,24 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,,,,,,,,Direwolf,Jon Snow,,{ Grey Wind } (brother) { Lady } (sister) Nymeria (sister) { Summer } (brother) { Shaggydog } (brother),0
Gilly,At Craster's Keep,,,['Unknown'],,Free Folk,{ Craster },,Morag Sissy Sam { Craster's last son } 101 brothers and even more sisters,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,27 episodes ( see below ),""" The North Remembers """,""" The Last of the Starks """,,Hannah Murray,{Craster},,,,,,,Samwell Tarly,,0
Galbart Glover,At Deepwood Motte,299 - 303 AC Died during the War of the Five Kings,Glover,['Stark'],,Northern,,,Robett Glover,Game of Thrones,1,2 episodes ( see below ),""" The Pointy End """,""" Fire and Blood """,,Mark Coney,,Old Gods,,,,,,,,1
Robett Glover,At Deepwood Motte,,Glover,"['Bolton', 'Stark']",,Northern,,,{ Galbart Glover },Game of Thrones,6 · 7,5 episodes ( see below ),""" The Broken Man """,""" Eastwatch """,,Tim McInnerny,Sybelle Locke,Old Gods,,,,,,,,0
Goatherd,,,,['Unknown'],,Ghiscari ( Meereenese ),,,,Game of Thrones,4,""" The Children """,,,,Darren Kent,,Ghiscari religion,,,,,,,,0
Gold Cloak (The Night Lands),,,,['City Watch'],,,,,,Game of Thrones,2,2 episodes ( see below ),""" The Night Lands """,""" What Is Dead May Never Die """,,Sam Callis,,,,,,,,,,0
Gold Cloak 1 (Eastwatch),,304 AC in King's Landing Face caved in with a war hammer by Gendry,,['City Watch'],,Andal,,,,Game of Thrones,7,""" Eastwatch """,,,"""Eastwatch""",Laurence Spellman,,,,,,,,,,1
Gold Cloak 1 (The Wolf and the Lion),,,,['City Watch'],,,,,,Game of Thrones,1,""" The Wolf and the Lion """,,,,Alan Paris,,,,,,,,,,0
Gold Cloak 2 (Eastwatch),,304 AC in King's Landing Face caved in with a war hammer by Gendry,,['City Watch'],,Andal,,,,Game of Thrones,7,""" Eastwatch """,,,"""Eastwatch""",Kevin Eldon,,,,,,,,,,1
Gold Cloak 2 (The Wolf and the Lion),,,,['City Watch'],,,,,,Game of Thrones,1,""" The Wolf and the Lion """,,,,Unidentified,,,,,,,,,,0
Gordo,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Gordy,In the North,302 AC near Winterfell Stabbed in the throat by Stannis Baratheon during the battle in the ice,,['Bolton'],,Northern,,,,Game of Thrones,5,""" Mother's Mercy """,,,"""Mother's Mercy""",Tristan McConnell,,Old Gods,,,,,,,,1
Grancer,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Great Master (Breaker of Chains),In Meereen,301 AC in Meereen Stabbed to death by rebel slaves,,['Great Masters'],Master,Ghiscari ( Meereenese ),,,,Game of Thrones,4,2 episodes ( see below ),""" Breaker of Chains """,""" Oathkeeper ""","""Oathkeeper""",Emilio Doorgasingh,,Ghiscari religion,,,,,,,,1
Green khal,,303 AC in Vaes Dothrak Burned alive by Daenerys Targaryen,,['Unknown'],Khal,Dothraki,,,,Game of Thrones,6,""" Book of the Stranger """,,,"""Book of the Stranger""",Unidentified,,Great Stallion,,,,,,,,1
Preston Greenfield,Greenfield,305 AC King's Landing,,"['Kingsguard', 'Queensguard']",Ser,Westermen,,,,Game of Thrones,1 · 3 · 5 · 8,11 episodes ( see below ),""" Winter Is Coming """,""" The Bells ""","""The Bells""",Unidentified,,Faith of the Seven,,,,,,,,1
Grenn,,"301 AC Castle Black , the Wall",,"[""Night's Watch""]",,,,,,Game of Thrones,1 · 2 · 3 · 4,22 episodes ( see below ),""" Lord Snow """,""" The Children "" (corpse)",""" The Watchers on the Wall """,Mark Stanley,,,,,,,,Violet,,1
Grey Wind,"298 AC The North , the Seven Kingdoms","300 AC (aged 2) The Twins , the Riverlands",,['Unknown'],,,,,,Game of Thrones,1 · 2 · 3,9 episodes ( see below ),""" Winter Is Coming """,""" Mhysa "" (corpse)",""" The Rains of Castamere """,,,,,,,Direwolf,{ Robb Stark },,{ Lady } (sister) Nymeria (sister) { Summer } (brother) { Shaggydog } (brother) Ghost (brother),1
Grey Worm,Summer Isles,,,"['Unsullied', 'Targaryen']",Master of War (briefly),Summer Islander,,,,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,34 episodes ( see below ),""" Kissed by Fire """,""" The Iron Throne """,,Jacob Anderson,,,,,,,,{ Missandei },,0
Aeron Greyjoy,At Pyke,303 - 305 AC,Greyjoy,['Drowned Men'],,Ironborn,{ Quellon Greyjoy },,{ Balon Greyjoy } { Euron Greyjoy },Game of Thrones,6,2 episodes ( see below ),""" Home """,""" The Door """,,Michael Feast,,Drowned God,,Aeron Damphair,,,,,,1
Balon Greyjoy,At Pyke,303 AC at Pyke Thrown from a bridge by Euron Greyjoy,Greyjoy,['Baratheon'],Lord of the Iron Islands King of Salt and Rock Son of the Sea Wind Lord Reaper of Pyke King of the Iron Islands,Ironborn,{ Quellon Greyjoy },,{ Euron Greyjoy } { Aeron Greyjoy },Game of Thrones,2 · 3 · 6,4 episodes ( see below ),""" The Night Lands """,""" Home ""","""Home""",Patrick Malahide,{ Alannys Harlaw },Drowned God,,Invader of the North,,,,,,1
Euron Greyjoy,"Pyke , the Iron Islands","305 AC Red Keep , King's Landing",Greyjoy,['Lannister'],King of the Iron Islands King of Salt and Rock Son of the Sea Wind Lord Reaper of Pyke,Ironborn,{ Quellon Greyjoy },,,Game of Thrones,6 · 7 · 8,9 episodes ( see below ),""" Home """,""" The Bells ""","""The Bells""",Pilou Asbæk,,,,,,,,{ Cersei I Lannister },,1
Theon Greyjoy,"281 AC Pyke , the Iron Islands","305 AC (aged 24) Winterfell , the North",Greyjoy,"['Stark', 'Bolton', 'Targaryen']",Prince Lord of Winterfell Prince of Winterfell,Ironborn,Balon Greyjoy,Alannys Harlaw,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,47 episodes ( see below ),""" Winter Is Coming """,""" The Last of the Starks "" (corpse)",""" The Long Night """,Alfie Allen,,Drowned God,,Reek Little Theon,,,,,,1
Yara Greyjoy,At Pyke,,Greyjoy,['Targaryen'],Queen of the Iron Islands (abdicated) Lady of the Iron Islands Queen of Salt and Rock Daughter of the Sea Wind Lady Reaper of Pyke,Ironborn,{ Balon Greyjoy },{ Alannys Harlaw },{ Rodrik Greyjoy } { Maron Greyjoy } { Theon Greyjoy },Game of Thrones,2 · 3 · 4 · 6 · 7 · 8,16 episodes ( see below ),""" The Night Lands """,""" The Iron Throne """,,Gemma Whelan,,Drowned God,,,,,,,,0
Guymon,,301 AC in the Gift Shot in the head with an arrow by Ygritte,,['Unknown'],,Northern,,,,Game of Thrones,4,""" Breaker of Chains """,,,"""Breaker of Chains""",Jem Wall,{ Wife },Old Gods,,,,,,,,1
Jaqen H%27ghar,In Lorath,,,['Faceless Men'],,Lorathi,,,,Game of Thrones,1 · 2 · 5 · 6,18 episodes ( see below ),""" Fire and Blood """,""" No One """,,Unidentified (Season 1) Tom Wlaschiha (Seasons 2-6) Additional actors when Jaqen is disguised: Patrick O'Kane (unknown) Cedric Henderson (Faceless Man) Faye Marsay ( Waif ),,Many-Faced God,,,,,,,,0
Haggo,,,,['Drogo'],Bloodrider,Dothraki,,,,Game of Thrones,1,4 episodes ( see below ),""" Winter Is Coming """,""" Baelor """,,Unidentified,,Great Stallion,,,,,,,,0
Halder,,,,"[""Night's Watch""]",,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Unidentified,,,,,,,,,,0
Hallyne,,,,"[""Alchemists' Guild""]",Wisdom,,,,,Game of Thrones,2,2 episodes ( see below ),""" The Ghost of Harrenhal """,""" Blackwater """,,Roy Dotrice,,,,Hallyne the Pyromancer,,,,,,0
Harker,,299 AC on the Skirling Pass Killed by wildlings,,"[""Night's Watch""]",,,,,,Game of Thrones,2,2 episodes ( see below ),""" The Ghost of Harrenhal """,""" The Old Gods and the New """,,Unidentified,,,,,,,,,,1
Harrag,On the Iron Islands,,,['Greyjoy'],,Ironborn,,,,Game of Thrones,7,4 episodes ( see below ),""" Stormborn """,""" The Dragon and the Wolf """,,Brendan Cowell,,Drowned God,,,,,,,,0
Masha Heddle,In the Riverlands,,,['Heddle family'],,Rivermen,,,,Game of Thrones,1,""" Cripples, Bastards, and Broken Things """,,,,Susie Kelly,,Faith of the Seven,,,,,,,,0
Helliweg,,,,"['Order of Maesters', 'Royce']",Maester,,,,,Game of Thrones,5,""" The Wars To Come """,,,,Joe Hewetson,,,,,,,,,,0
Henk,,,,['Stark'],,Northern,,,,Game of Thrones,7,""" The Spoils of War """,,,,Danny Kirrane,,,,,,,,,,0
Melara Hetherspoon,The Westerlands,,,['Unknown'],,Westermen,,,,Game of Thrones,5,""" The Wars To Come "" (flashback(s))",,,,Isabella Steinbarth,,Faith of the Seven,,,,,,,,0
Heward,"The North , the Seven Kingdoms","298 AC King's Landing , the Crownlands",,['Stark'],,Northern,,,,Game of Thrones,1,""" The Wolf and the Lion """,,,"""The Wolf and the Lion""",Unidentified,,Old Gods,,,,,,,,1
