Name,Born,Died,House(s),Affiliation(s),Title(s),Culture,Father,Mother,Sibling(s),Series,Season(s),Appeared in,First seen in,Last seen in,Died in,Portrayed by,Spouse(s),Religion,Issue,Also known as,Personal arms,Species,Affiliation,Lover(s),Family,Dead,mapped
Balon Greyjoy,At Pyke,303 AC at Pyke Thrown from a bridge by Euron Greyjoy,Greyjoy,['Baratheon'],Lord of the Iron Islands King of Salt and Rock Son of the Sea Wind Lord Reaper of Pyke King of the Iron Islands,Ironborn,{ Quellon Greyjoy },,{ Euron Greyjoy } { Aeron Greyjoy },Game of Thrones,2 · 3 · 6,4 episodes ( see below ),""" The Night Lands """,""" Home ""","""Home""",Patrick Malahide,{ Alannys Harlaw },Drowned God,,Invader of the North,,,,,,1,balon
Euron Greyjoy,"Pyke , the Iron Islands","305 AC Red Keep , King's Landing",Greyjoy,['Lannister'],King of the Iron Islands King of Salt and Rock Son of the Sea Wind Lord Reaper of Pyke,Ironborn,{ Quellon Greyjoy },,,Game of Thrones,6 · 7 · 8,9 episodes ( see below ),""" Home """,""" The Bells ""","""The Bells""",Pilou Asbæk,,,,,,,,{ Cersei I Lannister },,1,euron
Theon Greyjoy,"281 AC Pyke , the Iron Islands","305 AC (aged 24) Winterfell , the North",Greyjoy,"['Stark', 'Bolton', 'Targaryen']",Prince Lord of Winterfell Prince of Winterfell,Ironborn,Balon Greyjoy,Alannys Harlaw,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,47 episodes ( see below ),""" Winter Is Coming """,""" The Last of the Starks "" (corpse)",""" The Long Night """,Alfie Allen,,Drowned God,,Reek Little Theon,,,,,,1,theon greyjoy
Yara Greyjoy,At Pyke,,Greyjoy,['Targaryen'],Queen of the Iron Islands (abdicated) Lady of the Iron Islands Queen of Salt and Rock Daughter of the Sea Wind Lady Reaper of Pyke,Ironborn,{ Balon Greyjoy },{ Alannys Harlaw },{ Rodrik Greyjoy } { Maron Greyjoy } { Theon Greyjoy },Game of Thrones,2 · 3 · 4 · 6 · 7 · 8,16 episodes ( see below ),""" The Night Lands """,""" The Iron Throne """,,Gemma Whelan,,Drowned God,,,,,,,,0,yara
Guymon,,301 AC in the Gift Shot in the head with an arrow by Ygritte,,['Unknown'],,Northern,,,,Game of Thrones,4,""" Breaker of Chains """,,,"""Breaker of Chains""",Jem Wall,{ Wife },Old Gods,,,,,,,,1,guymon
Jaqen H%27ghar,In Lorath,,,['Faceless Men'],,Lorathi,,,,Game of Thrones,1 · 2 · 5 · 6,18 episodes ( see below ),""" Fire and Blood """,""" No One """,,Unidentified (Season 1) Tom Wlaschiha (Seasons 2-6) Additional actors when Jaqen is disguised: Patrick O'Kane (unknown) Cedric Henderson (Faceless Man) Faye Marsay ( Waif ),,Many-Faced God,,,,,,,,0,jaqen
Hallyne,,,,"[""Alchemists' Guild""]",Wisdom,,,,,Game of Thrones,2,2 episodes ( see below ),""" The Ghost of Harrenhal """,""" Blackwater """,,Roy Dotrice,,,,Hallyne the Pyromancer,,,,,,0,haylene
Harrag,On the Iron Islands,,,['Greyjoy'],,Ironborn,,,,Game of Thrones,7,4 episodes ( see below ),""" Stormborn """,""" The Dragon and the Wolf """,,Brendan Cowell,,Drowned God,,,,,,,,0,harrag
Masha Heddle,In the Riverlands,,,['Heddle family'],,Rivermen,,,,Game of Thrones,1,""" Cripples, Bastards, and Broken Things """,,,,Susie Kelly,,Faith of the Seven,,,,,,,,0,masha heddle
Melara Hetherspoon,The Westerlands,,,['Unknown'],,Westermen,,,,Game of Thrones,5,""" The Wars To Come "" (flashback(s))",,,,Isabella Steinbarth,,Faith of the Seven,,,,,,,,0,melara
High Septon (Joffrey),,299 AC in King's Landing Torn apart by smallfolk during the riots in King's Landing,,['Faith of the Seven'],High Septon,Andal,,,,Game of Thrones,1 · 2,3 episodes ( see below ),""" Baelor """,""" The Old Gods and the New ""","""The Old Gods and the New""",Unidentified (Season 1) David Verrey (Season 2),,Faith of the Seven,,,,,,,,1,high septon
High Septon (Robert%27s Rebellion),Maynard 233 AC,,,['Faith of the Seven'],High Septon,Andal,,,,Game of Thrones,7,""" The Dragon and the Wolf "" (vision(s))",,,,Tom Chadbon,,Faith of the Seven,,,,,,,,0,high septon
High Septon (Tommen),,,,['Faith of the Seven'],High Septon (stripped),Andal,,,,Game of Thrones,3 · 4 · 5,6 episodes ( see below ),""" Second Sons """,""" High Sparrow """,,Paul Bentley,,Faith of the Seven,,,,,,,,0,high septon
High Sparrow,,303 AC in King's Landing Incinerated in a wildfire explosion orchestrated by Cersei Lannister,,['Sparrows Faith Militant'],High Septon His High Holiness,Andal,,,,Game of Thrones,5 · 6,12 episodes ( see below ),""" High Sparrow """,""" The Winds of Winter ""","""The Winds of Winter""",Jonathan Pryce,,Faith of the Seven,,,,,,,,1,high sparrow
Hodor,Wylis,"303 AC Cave of the Three-Eyed Raven , beyond the Wall",,['Stark'],,Northern,,,,Game of Thrones,1 · 2 · 3 · 4 · 6,23 episodes ( see below ),""" Winter Is Coming """,""" The Door ""","""The Door""",Kristian Nairn Sam Coleman (adolescent),,,,,,,,,,1,hodor
Hot Pie,In King's Landing,,,['Unknown'],,,,,,Game of Thrones,1 · 2 · 3 · 4 · 7,12 episodes ( see below ),""" Fire and Blood """,""" Stormborn """,,Ben Hawkey,,,,,,,,,,0,hot pie
Areo Hotah,"Norvos , the Free Cities","303 AC The Water Gardens , Dorne",,['Martell'],Captain of the guard,Norvoshi,,,,Game of Thrones,5 · 6,6 episodes ( see below ),""" The House of Black and White """,""" The Red Woman ""","""The Red Woman""",DeObia Oparei,,,,,,,,,,1,areo
Hugh of the Vale,The Vale of Arryn,"298 AC King's Landing , the Crownlands",,['Arryn'],Ser,Valemen,,,,Game of Thrones,1,2 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The Wolf and the Lion "" (corpse)","""Cripples, Bastards, and Broken Things""",Jefferson Hall,,Faith of the Seven,,,,,,,,1,hugh of the vale
Ironborn captain,On the Iron Islands,,,['Greyjoy'],,Ironborn,,,,Game of Thrones,6,""" The Door """,,,,Darrell D'Silva,,Drowned God,,,,,,,,0,ironborn
Irri,,299 AC in Qarth Strangled with a tassel by Doreah,,"['Drogo', 'Targaryen']",,Dothraki,,,,Game of Thrones,1 · 2,13 episodes ( see below ),""" The Kingsroad """,""" The Old Gods and the New ""","""The Old Gods and the New"" (deleted scene(s))",Amrita Acharia,,Great Stallion,,,,,,,,1,irri
Izembaro,,,,['Unknown'],,Braavosi,,,,Game of Thrones,6,3 episodes ( see below ),""" The Door """,""" No One """,,Richard E. Grant,,,,,,,,,,0,izembaro
Jacks,In the North,,,['Stark'],,Northern,,,,Game of Thrones,2,2 episodes ( see below ),""" The Old Gods and the New """,""" A Man Without Honor """,,Paul Caddell,,Old Gods,,,,,,,,0,jacks
Jhiqui,,,,['Drogo'],,Dothraki,,,,Game of Thrones,1,""" The Kingsroad """,,,,Sarita Piotrowski,,Great Stallion,,,,,,,,0,jhiqui
Karsi,Beyond the Wall,"302 AC Hardhome , beyond the Wall",,"['Ice-river clans', 'Mance Rayder', 'White Walkers']",,Free Folk,,,,Game of Thrones,5 · 6,2 episodes ( see below ),""" Hardhome """,""" Blood of My Blood "" (vision(s))","""Hardhome""",Birgitte Hjort Sørensen,,Old Gods,,,,,,,,1,karsi
Rickard Karstark,"Karhold , the North","300 AC Riverrun , the Riverlands",Karstark,['Stark'],Lord of Karhold,Northern,,,,Game of Thrones,1 · 2 · 3,6 episodes ( see below ),""" Fire and Blood """,""" Kissed by Fire ""","""Kissed by Fire""",Steven Blount (Season 1) John Stahl (Seasons 2-3),,,,,,,,,,1,rickard karstark
Ralf Kenning,On Harlaw,301 AC at Moat Cailin Axed in the head by Adrack Humble,Kenning,['Unknown'],,Ironborn,,,,Game of Thrones,4,""" The Mountain and the Viper """,,,"""The Mountain and the Viper""",Grahame Fox,,Drowned God,,,,,,,,1,ralf
King%27s Landing baker,,,,['Unknown'],,,,,,Game of Thrones,1,""" Baelor """,,,,Edward Mercieca,,,,,,,,,,0,king's landing baker
Kinvara,,,,['Red Temple of Volantis'],High Priestess of the Red Temple of Volantis Flame of Truth Light of Wisdom First Servant of the Lord of Light,Volantene,,,,Game of Thrones,6,""" The Door """,,,,Ania Bukstein,,Lord of Light,,,,,,,,0,kinvara
Kovarro,,,,"['Drogo', 'Targaryen']",Bloodrider (to Drogo and Daenerys ),Dothraki,,,,Game of Thrones,2,7 episodes ( see below ),""" The North Remembers """,""" Valar Morghulis """,,Steven Cole,,Great Stallion,,,,,,,,0,kovarro
Lannister scout,The Westerlands,,,['Lannister'],,Westermen,,,,Game of Thrones,1,""" The Pointy End """,,,,Chris Gallagher,,Faith of the Seven,,,,,,,,0,lannister scout
Alton Lannister,"The Westerlands , Westeros","299 AC Near Oxcross , the Westerlands",Lannister,['Unknown'],Ser,Westermen,,Cynda Lannister,,Game of Thrones,2,3 episodes ( see below ),""" The North Remembers """,""" A Man Without Honor ""","""A Man Without Honor""",Karl Davies,,Faith of the Seven,,,,,,,,1,alton
Cersei Lannister,"261 AC Casterly Rock , the Westerlands","305 AC (aged 44) Red Keep , King's Landing",Lannister Baratheon of King's Landing (by marriage),['Small Council'],Queen Mother (formerly) Queen Regent (formerly) Lady of Casterly Rock Wardeness of the West Queen of the Andals and the First Men Protector of the Seven Kingdoms,Westermen,{ Tywin Lannister },{ Joanna Lannister },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,62 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne "" (corpse)",""" The Bells """,Lena Headey Nell Williams (adolescent),{ Robert I Baratheon },Faith of the Seven,With Robert: { Son } With Jaime: { Joffrey I Baratheon } { Myrcella Baratheon } { Tommen I Baratheon },Cersei Baratheon,,,,{ Jaime Lannister } { Lancel Lannister } { Euron Greyjoy },,1,cersei lannister
Jaime Lannister,"261 AC Casterly Rock , the Westerlands","305 AC (aged 44) Red Keep , King's Landing",Lannister,"['Kingsguard', 'Small Council']",Ser Lord Commander of the Kingsguard (formerly),Westermen,{ Tywin Lannister },{ Joanna Lannister },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,55 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne "" (corpse)",""" The Bells """,Nikolaj Coster-Waldau,,Faith of the Seven,{ Joffrey I Baratheon } { Myrcella Baratheon } { Tommen I Baratheon },Kingslayer,,,,{ Cersei Lannister } Brienne of Tarth,,1,jaime lannister
Kevan Lannister,Casterly Rock,303 AC King's Landing,Lannister,['Baratheon'],Ser Hand of the King (to Tommen I ) Protector of the Realm (for Tommen I),Westermen,{ Tytos Lannister },{ Jeyne Marbrand },{ Tywin Lannister } Gerion Lannister Genna Lannister { Tygett Lannister },Game of Thrones,1 · 2 · 5 · 6,12 episodes ( see below ),""" The Pointy End """,""" The Winds of Winter ""","""The Winds of Winter""",Ian Gelder,Dorna Swyft,Faith of the Seven,{ Lancel Lannister } { Martyn Lannister } Janei Lannister { Willem Lannister },,,,,,,1,kevan lannister
Lancel Lannister,Casterly Rock,303 AC King's Landing,Lannister (renounced),['Sparrows Faith Militant'],Ser (formerly),Westermen,{ Kevan Lannister },Dorna Swyft,{ Martyn Lannister } Janei Lannister { Willem Lannister },Game of Thrones,1 · 2 · 5 · 6,16 episodes ( see below ),""" Lord Snow """,""" The Winds of Winter ""","""The Winds of Winter""",Eugene Simon,,Faith of the Seven,,Brother Lancel,,,,{ Cersei Lannister } (formerly),,1,lancel lannister
Martyn Lannister,285 AC Casterly Rock,300 AC (aged 15) Riverrun,Lannister,['Unknown'],,Westermen,{ Kevan Lannister },Dorna Swyft,{ Lancel Lannister } Janei Lannister { Willem Lannister },Game of Thrones,3,2 episodes ( see below ),""" Walk of Punishment """,""" Kissed by Fire ""","""Kissed by Fire""",Dean-Charles Chapman,,Faith of the Seven,,,,,,,,1,martyn
Reginald Lannister,,,Lannister,['Unknown'],,Westermen,,,,Game of Thrones,2,""" The Ghost of Harrenhal """,,,,Patrick Fitzsymons,Wife,Faith of the Seven,,,,,,,,0,reginald
Tyrion Lannister,"265 AC (age 40) Casterly Rock , the Westerlands",,Lannister,"['Baratheon', 'Small Council', 'Targaryen']",Acting Hand of the King (formerly) Master of Coin (formerly) Hand of the Queen (formerly) Hand of the King Lord of Casterly Rock Warden of the West,Westermen,{ Tywin Lannister },{ Joanna Lannister },,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,67 episodes ( see below ),""" Winter Is Coming """,""" The Iron Throne """,,Peter Dinklage,"Tysha (1st wife, annulled) Sansa Stark (2nd wife, unconsummated)",Faith of the Seven,,The Imp Halfman The Little Lion Dwarf of Casterly Rock,,,,{ Shae },,0,tyrion lannister
Tywin Lannister,"234 AC Casterly Rock , the Westerlands","301 AC (aged 67) Tower of the Hand , King's Landing",Lannister,"['Targaryen', 'Baratheon', 'Small Council']",Ser Lord of Casterly Rock Warden of the West Hand of the King Savior of the City Protector of the Realm,Westermen,{ Tytos Lannister },{ Jeyne Marbrand },,Game of Thrones,1 · 2 · 3 · 4 · 5,27 episodes ( see below ),""" You Win or You Die """,""" The Wars To Come "" (corpse)",""" The Children """,Charles Dance,{ Joanna Lannister },Faith of the Seven,{ Cersei Lannister } { Jaime Lannister } Tyrion Lannister,,,,,{ Shae },,1,tywin lannister
Willem Lannister,286 AC Casterly Rock,300 AC (aged 14) Riverrun,Lannister,['Unknown'],,Westermen,{ Kevan Lannister },Dorna Swyft,{ Lancel Lannister } { Martyn Lannister } Janei Lannister,Game of Thrones,3,2 episodes ( see below ),""" Walk of Punishment """,""" Kissed by Fire ""","""Kissed by Fire""",Timothy Gibbons,,Faith of the Seven,,,,,,,,1,willem
Leaf,Prior to 11200 BC,"303 AC (aged >11,500) in the cave of the Three-Eyed Raven Sacrificed self after being repeatedly stabbed by wights",,['Unknown'],,Children of the Forest,,,,Game of Thrones Bloodmoon (rejected),Game of Thrones : 4 · 6,5 episodes ( see below ),""" The Children """,""" Blood of My Blood "" (vision(s))",""" The Door """,Octavia Alexandru (Season 4) Kae Alexander (Season 6) Doyin Ajiboye ( Bloodmoon ),,Old Gods,,,,,,,,1,leaf
Leo Lefford,Golden Tooth,,Lefford,['Lannister'],,Westermen,,,,Game of Thrones,1,2 episodes ( see below ),""" Baelor """,""" Fire and Blood """,,Vinnie McCabe,,Faith of the Seven,,,,,,,,0,leo lefford
Lem,,"303 AC The Riverlands , the Seven Kingdoms",,['Brotherhood Without Banners'],,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Broken Man """,""" No One ""","""No One""",Jóhannes Haukur Jóhannesson,,Lord of Light,,Lem Lemoncloak,,,,,,1,lem
Lhara,In Braavos,,,['Unknown'],,Braavosi,,,,Game of Thrones,4 · 5,3 episodes ( see below ),""" The Laws of Gods and Men """,""" The Dance of Dragons """,,Sarine Sofair,,,,,,,,,,0,lhara
Little bird (The Mountain and the Viper),In Meereen,,,['Varys'],,Ghiscari ( Meereenese ),,,,Game of Thrones,4,""" The Mountain and the Viper """,,,,Samuel Paul Small,,,,,,,,,,0,little bird
Little bird (You Win or You Die),,,,['Varys'],,,,,,Game of Thrones,1,""" You Win or You Die """,,,,Tristan Mercieca,,,,,,,,,,0,little bird
Loboda,"Thenn , beyond the Wall","302 AC Hardhome , beyond the Wall",,"['Mance Rayder', 'White Walkers']",,Thenn,,,,Game of Thrones,5,""" Hardhome """,,,"""Hardhome""",Zahary Baharov,,Old Gods,,,,,,,,1,loboda
Locke,"The North , the Seven Kingdoms","301 AC Craster's Keep , beyond the Wall",,"['Bolton', ""Night's Watch""]",Castellan of Harrenhal (formerly),Northern,,,,Game of Thrones,3 · 4,8 episodes ( see below ),""" Dark Wings, Dark Words """,""" First of His Name ""","""First of His Name""",Noah Taylor,,Old Gods,,,,,,,,1,locke
Lommy,In King's Landing,299 AC near Harrenhal Stabbed in the throat with Needle by Polliver during the fight at the holdfast,,"[""Night's Watch""]",,Andal,,,,Game of Thrones,1 · 2,4 episodes ( see below ),""" Fire and Blood """,""" What Is Dead May Never Die ""","""What Is Dead May Never Die""",Eros Vlahos,,Faith of the Seven,,Lommy Greenhands,,,,,,1,lommy
Hizdahr zo Loraq,In Meereen,302 AC in the Great Pit of Daznak Stabbed repeatedly in the chest by Sons of the Harpy during the shadow war,Loraq,"['Great Masters', 'Targaryen']",,Ghiscari ( Meereenese ),,,,Game of Thrones,4 · 5,8 episodes ( see below ),""" Breaker of Chains """,""" The Dance of Dragons ""","""The Dance of Dragons""",Joel Fry,,Ghiscari religion,,,,,,,,1,hizdahr zo loraq
Amory Lorch,The Westerlands,299 AC Harrenhal,Lorch,['Lannister'],Ser,Westermen,,,,Game of Thrones,2,4 episodes ( see below ),""" What Is Dead May Never Die """,""" The Old Gods and the New ""","""The Old Gods and the New""",Fintan McKeown,,Faith of the Seven,,,,,,,,1,amory
Lord of Bones,Beyond the Wall,302 AC at Hardhome Beaten to death with his own staff by Tormund,,"['Mance Rayder', 'White Walkers']",,Free Folk,,,,Game of Thrones,2 · 3 · 5,4 episodes ( see below ),""" The Prince of Winterfell """,""" Hardhome ""","""Hardhome""",Edward Dogliani (Seasons 2-3) Ross O'Hennessy (Season 5),,Old Gods,,Rattleshirt,,,,,,1,lord of bones
Luwin,,"299 AC Winterfell , the North",,"['Order of Maesters', 'Stark', 'Greyjoy']",Maester,,,,,Game of Thrones,1 · 2,14 episodes ( see below ),""" Winter Is Coming """,""" Valar Morghulis ""","""Valar Morghulis""",Donald Sumpter,,,,,,,,,,1,luwin
Maggy,,Near Horn Hill,,['Unknown'],,,,,,Game of Thrones,5,""" The Wars To Come "" (flashback(s))",,,,Jodhi May,,,,Maggy the Frog,,,,,,1,maggy
Mago,,"298 AC Lhazar , Essos",,['Drogo'],,Dothraki,,,,Game of Thrones,1,2 episodes ( see below ),""" Winter Is Coming """,""" The Pointy End ""","""The Pointy End""",Ivailo Dimitrov,,Great Stallion,,,,,,,,1,mago
Malko,,,,['Unknown'],,,,,,Game of Thrones,5,2 episodes ( see below ),""" Unbowed, Unbent, Unbroken """,""" The Gift """,,Adewale Akinnuoye-Agbaje,,,,,,,,,,0,malko
Addam Marbrand,Ashemark,,Marbrand,['Lannister'],Ser,Westermen,Damon Marbrand,,,Game of Thrones,1,""" Fire and Blood """,,,,B.J. Hogg,,Faith of the Seven,,,,,,,,0,addam marbrand
Marei,,,,['Petyr Baelish'],,,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 8,8 episodes ( see below ),""" The North Remembers """,""" Winterfell """,,Josephine Gillan,,,,,,,,,,0,marei
Marillion,,,,['Unknown'],,,,,,Game of Thrones,1,4 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" Fire and Blood """,,Emun Elliott,,,,,,,,,,0,marillion
Bowen Marsh,In the Neck,303 AC at Castle Black Hanged by Jon Snow for treason,Marsh,"[""Night's Watch""]",First Steward,Crannogman,,,,Game of Thrones,5 · 6,10 episodes ( see below ),""" The Wars To Come """,""" Oathbreaker ""","""Oathbreaker""",Michael Condron,,Old Gods,,,,,,,,1,bowen marsh
Doran Martell,"Sunspear , Dorne","303 AC The Water Gardens , Dorne",Martell,"['Targaryen', 'Baratheon']",Prince of Dorne,Dornish,,,{ Oberyn Martell } { Elia Martell },Game of Thrones,5 · 6,5 episodes ( see below ),""" The House of Black and White """,""" The Red Woman ""","""The Red Woman""",Alexander Siddig,,Faith of the Seven,{ Trystane Martell },,,,,,,1,doran
Oberyn Martell,,"301 AC Red Keep , King's Landing",Martell,"['Yronwood', 'Order of Maesters', 'Second Sons', 'Baratheon', 'Small Council']",Prince,Dornish,,,{ Doran Martell } { Elia Martell },Game of Thrones,4,7 episodes ( see below ),""" Two Swords """,""" The Mountain and the Viper ""","""The Mountain and the Viper""",Pedro Pascal,,,{ Obara Sand } { Nymeria Sand } { Tyene Sand } Sarella Sand Elia Sand Obella Sand Dorea Sand Loreza Sand,The Red Viper of Dorne,,,,{ Ellaria Sand } ( paramour ),,1,oberyn
Trystane Martell,"Sunspear , Dorne","303 AC Blackwater Bay , the Crownlands",Martell,['Unknown'],Prince,Dornish,{ Doran Martell },,,Game of Thrones,5 · 6,5 episodes ( see below ),""" The House of Black and White """,""" The Red Woman ""","""The Red Woman""",Toby Sebastian,,Faith of the Seven,,,,,,,,1,trystane
Melisandre,c. 100 BC Asshai,"305 AC (aged ~400) Winterfell , the North",,"['Lord of Light', 'Stannis Baratheon', '', 'Jon Snow', 'Daenerys Targaryen', '']",,Asshai'i,,,,Game of Thrones,2 · 3 · 4 · 5 · 6 · 7 · 8,29 episodes ( see below ),""" The North Remembers """,""" The Long Night ""","""The Long Night""",Carice van Houten,,Lord of Light,,The Red Woman The Red Witch,,,,{ Stannis Baratheon },,1,melisandre
Mero,"Braavos , the Free Cities","300 AC Yunkai , Slaver's Bay",,['Second Sons'],Captain of the Second Sons,Braavosi,,,,Game of Thrones,3,""" Second Sons """,,,"""Second Sons""",Mark Killeen,,,,The Titan's Bastard,,,,,,1,mero
Mhaegen,,,,['Petyr Baelish'],,,,,,Game of Thrones,1 · 2,2 episodes ( see below ),""" The Wolf and the Lion """,""" The North Remembers """,,Antonia Christophers,,,,,,,,,,0,mhaegen
Missandei,Naath,"305 AC King's Landing , the Crownlands",,"['Good Masters', 'Targaryen']",,Naathi,,,,Game of Thrones,3 · 4 · 5 · 6 · 7 · 8,38 episodes ( see below ),""" Valar Dohaeris """,""" The Last of the Starks ""","""The Last of the Starks""",Nathalie Emmanuel,,,,,,,,Grey Worm,,1,missandei
Mole%27s Town madam,,,,['Unknown'],,Northern,,,,Game of Thrones,4,2 episodes ( see below ),""" Breaker of Chains """,""" The Mountain and the Viper """,,Lu Corfield,,Old Gods,,,,,,,,0,mole's town madam
Mole%27s Town whore,,"301 AC Mole's Town , the Gift",,['Unknown'],,Northern,,,,Game of Thrones,4,2 episodes ( see below ),""" Breaker of Chains """,""" The Mountain and the Viper ""","""The Mountain and the Viper""",Lois Winstone,,Old Gods,,,,,,,,1,mole's town whore
Mandon Moore,The Vale of Arryn,"299 AC King's Landing , the Crownlands",Moore,['Kingsguard'],Ser,Valemen,,,,Game of Thrones,1 · 2,4 episodes ( see below ),""" You Win or You Die """,""" Blackwater ""","""Blackwater""",Unidentified (Season 1) James Doran (Season 2),,Faith of the Seven,,,,,,,,1,mandon
Illyrio Mopatis,In Pentos,,,['Targaryen'],Magister of Pentos,Pentoshi,,,,Game of Thrones,1,2 episodes ( see below ),""" Winter Is Coming """,""" The Wolf and the Lion """,,Roger Allam Ian McNeice ( pilot ),Pentoshi princess,,,,,,,,,0,illyrio mopatis
Morag,At Craster's Keep,,,['Unknown'],,Free Folk,{ Craster },,Gilly Sissy Sam { Craster's last son } 101 brothers and even more sisters,Game of Thrones,4,2 episodes ( see below ),""" Oathkeeper """,""" First of His Name """,,Deirdre Monaghan,{Craster},White Walkers,,,,,,,,0,morag
Mord,,,,['Arryn'],,Valemen,,,,Game of Thrones,1,2 episodes ( see below ),""" The Wolf and the Lion """,""" A Golden Crown """,,Ciaran Bermingham,,,,,,,,,,0,mord
Mordane,,298 AC in King's Landing,,"['Faith of the Seven', 'Stark']",Septa,Westerosi,,,,Game of Thrones,1,7 episodes ( see below ),""" Winter Is Coming """,""" Fire and Blood "" (corpse)",,Susan Brown,,Faith of the Seven,,,,,,,,1,mordane
Morgan (The Broken Man),,"303 AC The Riverlands , the Seven Kingdoms",,['Brotherhood Without Banners'],,,,,,Game of Thrones,6,2 episodes ( see below ),""" The Broken Man """,""" No One ""","""No One""",Ian Davies,,Lord of Light,,,,,,,,1,morgan
Morgan (Two Swords),,,,['Lannister'],,Westermen,,,,Game of Thrones,4,""" Two Swords """,,,,Chris Reilly,,Faith of the Seven,,,,,,,,0,morgan
Jeor Mormont,"Mormont Keep , the North","300 AC Craster's Keep , beyond the Wall",Mormont,"['Stark', ""Night's Watch""]",Lord of Bear Island (formerly) 997th Lord Commander of the Night's Watch,Northern,,,{ Maege Mormont },Game of Thrones,1 · 2 · 3,12 episodes ( see below ),""" Lord Snow """,""" And Now His Watch Is Ended ""","""And Now His Watch Is Ended""",James Cosmo,,Old Gods,{ Jorah Mormont },The Old Bear,,,,,,1,jeor mormont
Jorah Mormont,,"305 AC Winterfell , the North",Mormont,"['Stark', 'Golden Company', 'Varys', 'Targaryen', 'Queensguard']",Ser Lord of Bear Island (formerly),Northern,{ Jeor Mormont },,,Game of Thrones,1 · 2 · 3 · 4 · 5 · 6 · 7 · 8,52 episodes ( see below ),""" Winter Is Coming """,""" The Last of the Starks "" (corpse)",""" The Long Night """,Iain Glen,Lynesse Hightower (separated),,,"""the Andal""",,,,,,1,jorah mormont
Lyanna Mormont,292 AC at Mormont Keep,305 AC (aged 13) at Winterfell Crushed by a wight giant and raised as a wight during the Battle of Winterfell ; subsequently destroyed during the battle,Mormont,"['Stark', 'White Walkers']",Lady of Bear Island,Northern,,{ Maege Mormont },,Game of Thrones,6 · 7 · 8,9 episodes ( see below ),""" The Broken Man """,""" The Last of the Starks "" (corpse)",""" The Long Night """,Bella Ramsey,,Old Gods,,,,,,,,1,lyanna mormont
Mossador,,302 AC in Meereen Beheaded by Daario Naharis on the orders of Daenerys Targaryen,,"['Great Masters', 'Targaryen']",,,,,,Game of Thrones,4 · 5,3 episodes ( see below ),""" Oathkeeper """,""" The House of Black and White ""","""The House of Black and White""",Reece Noi,,,,,,,,,,1,mossador
Tobho Mott,In Qohor,,,['Unknown'],,Qohorik,,,,Game of Thrones,1 · 2,2 episodes ( see below ),""" Cripples, Bastards, and Broken Things """,""" The North Remembers """,,Andrew Wilde,,,,,,,,,,0,tobho mott
Mycah,286 AC,298 AC (aged 12) near the Inn at the Crossroads Ridden down by Sandor Clegane on the orders of Joffrey Baratheon,,['Unknown'],,,Butcher,,,Game of Thrones,1,""" The Kingsroad """,,,"""The Kingsroad""",Rhodri Hosking,,,,,,,,,,1,mycah
Myranda,"The Dreadfort , the North","302 AC Winterfell , the North",,['Bolton'],,Northern,Kennelmaster,,,Game of Thrones,3 · 4 · 5 · 6,8 episodes ( see below ),""" The Bear and the Maiden Fair """,""" The Red Woman "" (corpse)",""" Mother's Mercy """,Charlotte Hope,,Faith of the Seven,,,,,,{ Ramsay Bolton },,1,myranda
Daario Naharis,In Tyrosh,,,"['Second Sons', 'Targaryen']",Captain of the Second Sons,Tyroshi,,,,Game of Thrones,3 · 4 · 5 · 6,21 episodes ( see below ),""" Second Sons """,""" The Winds of Winter """,,Ed Skrein (Season 3) Michiel Huisman (Seasons 4-6),,,,,,,,{ Daenerys Targaryen } (formerly),,0,daario naharis
Kraznys mo Nakloz,In Astapor,300 AC in Astapor Burned alive by Drogon at the command of Daenerys Targaryen during the fall of Astapor,,['Good Masters'],Master,Ghiscari ( Astapori ),,,,Game of Thrones,3,3 episodes ( see below ),""" Valar Dohaeris """,""" And Now His Watch Is Ended ""","""And Now His Watch Is Ended""",Dan Hildebrand,,Ghiscari religion,,,,,,,,1,kraznys mo nakloz
Old Nan,At Winterfell,,,['Stark'],,Northern,,,,Game of Thrones,1 · 6,4 episodes ( see below ),""" Lord Snow """,""" The Door "" (vision(s))",,Margaret John Annette Tierney (younger),,Old Gods,,,,,,,,0,old nan
Tycho Nestoris,In Braavos,,,['Iron Bank of Braavos'],,Braavosi,,,,Game of Thrones,4 · 5 · 7,4 episodes ( see below ),""" The Laws of Gods and Men """,""" The Spoils of War """,,Mark Gatiss,,,,,,,,,,0,tycho
Night%27s Watch man (Book of the Stranger),,,,"[""Night's Watch""]",,,,,,Game of Thrones,6,2 episodes ( see below ),""" Book of the Stranger """,""" The Door """,,Michael Hooley,,,,,,,,,,0,night's watch
